Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),ET2 (mm/day),Ra (mm/day),Latitude,Longitude,Station
2000-01-01,0.052371,22.5,14.3,18.4,18.4,18.4,2.4709436138068197,,10.363811428183087,20.791703,-156.358194,Cabaero Farm
2000-01-02,0.408391,23.0,14.8,18.9,18.9,18.9,2.509573873263148,,10.382433494602456,20.791703,-156.358194,Cabaero Farm
2000-01-03,0.180393,24.0,15.8,19.9,19.9,19.9,2.5829314934524916,,10.402477262856545,20.791703,-156.358194,Cabaero Farm
2000-01-04,0.130421,24.3,16.6,20.4,20.450000000000003,20.4,2.541371315034353,,10.423931820324727,20.791703,-156.358194,Cabaero Farm
2000-01-05,0.0,24.1,17.1,20.6,20.6,20.6,2.44112913836958,,10.446785420418104,20.791703,-156.358194,Cabaero Farm
2000-01-06,0.0,23.7,17.0,20.4,20.35,20.4,2.3813203152202753,,10.471025487377533,20.791703,-156.358194,Cabaero Farm
2000-01-07,0.0,23.5,16.7,20.1,20.1,20.1,2.386007189239613,,10.496638621572245,20.791703,-156.358194,Cabaero Farm
2000-01-08,0.0,23.2,16.0,19.6,19.6,19.6,2.429016452214163,,10.523610605317051,20.791703,-156.358194,Cabaero Farm
2000-01-09,0.017994,23.0,16.4,19.7,19.7,19.7,2.3380986181709518,,10.551926409226676,20.791703,-156.358194,Cabaero Farm
2000-01-10,0.018389,23.2,16.7,20.0,19.95,20.0,2.3454513634581406,,10.581570199125714,20.791703,-156.358194,Cabaero Farm
2000-01-11,0.0,23.4,17.0,20.2,20.2,20.2,2.346497846682806,,10.61252534353296,20.791703,-156.358194,Cabaero Farm
2000-01-12,0.133263,23.5,16.9,20.2,20.2,20.2,2.3901208638426383,,10.644774421738676,20.791703,-156.358194,Cabaero Farm
2000-01-13,1.75097,22.7,16.7,19.7,19.7,19.7,2.25598815798117,,10.678299232493126,20.791703,-156.358194,Cabaero Farm
2000-01-14,0.331836,22.6,16.6,19.6,19.6,19.6,2.2573008441869673,,10.713080803324392,20.791703,-156.358194,Cabaero Farm
2000-01-15,0.829291,21.7,16.0,18.8,18.85,18.8,2.1603217007687077,,10.74909940050292,20.791703,-156.358194,Cabaero Farm
2000-01-16,4.43624,21.1,15.5,18.3,18.3,18.3,2.1193512351575627,,10.786334539669703,20.791703,-156.358194,Cabaero Farm
2000-01-17,0.0254186,21.2,14.7,18.0,17.95,18.0,2.2724064729218183,,10.824764997144024,20.791703,-156.358194,Cabaero Farm
2000-01-18,0.0,20.8,14.2,17.5,17.5,17.5,2.2660996813610637,,10.864368821926046,20.791703,-156.358194,Cabaero Farm
2000-01-19,1.41589,20.7,14.3,17.5,17.5,17.5,2.23987153515196,,10.905123348408203,20.791703,-156.358194,Cabaero Farm
2000-01-20,2.34484,20.4,15.1,17.8,17.75,17.8,2.0635314560558253,,10.94700520980839,20.791703,-156.358194,Cabaero Farm
2000-01-21,0.175331,20.8,15.9,18.3,18.35,18.3,2.0199024181644503,,10.989990352336555,20.791703,-156.358194,Cabaero Farm
2000-01-22,0.550417,21.0,15.5,18.2,18.25,18.2,2.142628061870114,,11.034054050104867,20.791703,-156.358194,Cabaero Farm
2000-01-23,0.0,20.9,14.3,17.6,17.6,17.6,2.3174497618421364,,11.0791709207902,20.791703,-156.358194,Cabaero Farm
2000-01-24,0.0,21.6,13.4,17.5,17.5,17.5,2.5865553817371167,,11.12531494205597,20.791703,-156.358194,Cabaero Farm
2000-01-25,0.00544548,21.3,12.7,17.0,17.0,17.0,2.622437179089105,,11.172459468738671,20.791703,-156.358194,Cabaero Farm
2000-01-26,0.0164559,21.4,12.8,17.1,17.1,17.1,2.6412997404677765,,11.22057725080263,20.791703,-156.358194,Cabaero Farm
2000-01-27,0.469088,21.3,15.0,18.2,18.15,18.2,2.34212824762603,,11.269640452064655,20.791703,-156.358194,Cabaero Farm
2000-01-28,0.0,22.3,15.2,18.8,18.75,18.8,2.539042493389892,,11.319620669688168,20.791703,-156.358194,Cabaero Farm
2000-01-29,0.0,22.6,14.9,18.8,18.75,18.8,2.656032743164399,,11.370488954444564,20.791703,-156.358194,Cabaero Farm
2000-01-30,0.0,23.5,14.4,19.0,18.95,19.0,2.9163974719067585,,11.42221583173719,20.791703,-156.358194,Cabaero Farm
2000-01-31,0.0,23.9,14.7,19.3,19.299999999999997,19.3,2.9698854501456187,,11.474771323381448,20.791703,-156.358194,Cabaero Farm
2000-02-01,0.0,23.7,16.1,19.9,19.9,19.9,2.7557172712644364,,11.528124970132149,20.791703,-156.358194,Cabaero Farm
2000-02-02,0.0,23.2,15.3,19.2,19.25,19.2,2.770357940485637,,11.582245854947152,20.791703,-156.358194,Cabaero Farm
2000-02-03,0.0,23.5,15.0,19.2,19.25,19.2,2.887246657844338,,11.637102626973943,20.791703,-156.358194,Cabaero Farm
2000-02-04,0.0,23.6,15.1,19.4,19.35,19.4,2.9167129585182825,,11.692663526243722,20.791703,-156.358194,Cabaero Farm
2000-02-05,0.0,23.4,14.7,19.0,19.049999999999997,19.0,2.9331370491178346,,11.748896409055082,20.791703,-156.358194,Cabaero Farm
2000-02-06,0.000801325,23.5,14.8,19.2,19.15,19.2,2.963353483279539,,11.805768774027362,20.791703,-156.358194,Cabaero Farm
2000-02-07,0.0,23.6,14.6,19.1,19.1,19.1,3.020501519506674,,11.8632477888012,20.791703,-156.358194,Cabaero Farm
2000-02-08,0.0,23.8,15.3,19.6,19.55,19.6,2.9897338582920074,,11.92130031736185,20.791703,-156.358194,Cabaero Farm
2000-02-09,0.0,23.7,15.6,19.7,19.65,19.7,2.9407259261217336,,11.979892947958424,20.791703,-156.358194,Cabaero Farm
2000-02-10,0.0,23.9,14.9,19.4,19.4,19.4,3.0901684721017637,,12.038992021590165,20.791703,-156.358194,Cabaero Farm
2000-02-11,0.0,23.6,15.3,19.4,19.450000000000003,19.4,2.982247176734872,,12.098563661028631,20.791703,-156.358194,Cabaero Farm
2000-02-12,0.0,23.9,15.1,19.5,19.5,19.5,3.094287330526623,,12.15857380034271,20.791703,-156.358194,Cabaero Farm
2000-02-13,0.0,24.2,15.1,19.7,19.65,19.7,3.1791794742570434,,12.218988214891228,20.791703,-156.358194,Cabaero Farm
2000-02-14,0.0,24.1,15.1,19.6,19.6,19.6,3.168918104703602,,12.27977255174611,20.791703,-156.358194,Cabaero Farm
2000-02-15,0.000155263,24.9,15.6,20.2,20.25,20.2,3.289269600118753,,12.340892360507038,20.791703,-156.358194,Cabaero Farm
2000-02-16,0.0,24.4,15.8,20.1,20.1,20.1,3.17043580126836,,12.402313124466884,20.791703,-156.358194,Cabaero Farm
2000-02-17,0.0,25.3,16.5,20.9,20.9,20.9,3.2910735458923566,,12.464000292085391,20.791703,-156.358194,Cabaero Farm
2000-02-18,0.0,24.9,17.3,21.1,21.1,21.1,3.08954014795623,,12.52591930872704,20.791703,-156.358194,Cabaero Farm
2000-02-19,0.0,23.9,16.8,20.3,20.35,20.3,2.939273168712232,,12.588035648617467,20.791703,-156.358194,Cabaero Farm
2000-02-20,0.0,23.8,16.1,20.0,19.950000000000003,20.0,3.051872128574551,,12.650314846971481,20.791703,-156.358194,Cabaero Farm
2000-02-21,0.0,24.0,16.8,20.4,20.4,20.4,2.997063988005964,,12.712722532244385,20.791703,-156.358194,Cabaero Farm
2000-02-22,0.0,24.5,16.9,20.7,20.7,20.7,3.118630349718086,,12.775224458457092,20.791703,-156.358194,Cabaero Farm
2000-02-23,0.0,24.7,16.9,20.8,20.799999999999997,20.8,3.183116927523707,,12.837786537544636,20.791703,-156.358194,Cabaero Farm
2000-02-24,0.0,24.3,17.0,20.6,20.65,20.6,3.0783841983050877,,12.90037487167661,20.791703,-156.358194,Cabaero Farm
2000-02-25,0.0,24.0,16.3,20.2,20.15,20.2,3.1438428929980926,,12.962955785497334,20.791703,-156.358194,Cabaero Farm
2000-02-26,0.0,23.9,17.0,20.4,20.45,20.4,3.0061455861527535,,13.025495858232924,20.791703,-156.358194,Cabaero Farm
2000-02-27,0.0,23.8,17.2,20.5,20.5,20.5,2.9619014317651944,,13.087961955611915,20.791703,-156.358194,Cabaero Farm
2000-02-28,0.0,24.0,17.0,20.5,20.5,20.5,3.064869538416316,,13.15032126154565,20.791703,-156.358194,Cabaero Farm
2000-02-29,0.0,24.6,16.9,20.8,20.75,20.8,3.254969035112389,,13.212541309514606,20.791703,-156.358194,Cabaero Farm
2000-03-01,0.0,25.1,16.4,20.8,20.75,20.8,3.4761289912073887,,13.274590013606412,20.791703,-156.358194,Cabaero Farm
2000-03-02,0.0,24.0,16.2,20.1,20.1,20.1,3.2467894245443443,,13.33643569915186,20.791703,-156.358194,Cabaero Farm
2000-03-03,0.0,24.6,16.0,20.3,20.3,20.3,3.4430516569039167,,13.39804713290486,20.791703,-156.358194,Cabaero Farm
2000-03-04,0.0,24.6,16.4,20.5,20.5,20.5,3.39515048313328,,13.459393552713152,20.791703,-156.358194,Cabaero Farm
2000-03-05,0.0,24.5,16.4,20.4,20.45,20.4,3.380840516971357,,13.52044469662675,20.791703,-156.358194,Cabaero Farm
2000-03-06,0.0,25.0,16.1,20.6,20.55,20.6,3.5784196974535054,,13.581170831391944,20.791703,-156.358194,Cabaero Farm
2000-03-07,0.0,24.1,16.3,20.2,20.200000000000003,20.2,3.3298312385863444,,13.641542780279337,20.791703,-156.358194,Cabaero Farm
2000-03-08,0.0,23.6,15.3,19.4,19.450000000000003,19.4,3.3773723989264988,,13.70153195019552,20.791703,-156.358194,Cabaero Farm
2000-03-09,0.0,23.9,14.6,19.2,19.25,19.2,3.571285019805258,,13.761110358028759,20.791703,-156.358194,Cabaero Farm
2000-03-10,0.0,24.2,14.9,19.6,19.55,19.6,3.6254075291913277,,13.820250656180763,20.791703,-156.358194,Cabaero Farm
2000-03-11,0.0,24.3,15.2,19.8,19.75,19.8,3.6206975006058166,,13.878926157237428,20.791703,-156.358194,Cabaero Farm
2000-03-12,0.0,24.6,16.3,20.4,20.450000000000003,20.4,3.527792232077689,,13.93711085773336,20.791703,-156.358194,Cabaero Farm
2000-03-13,0.0,24.6,16.6,20.6,20.6,20.6,3.4959894456632625,,13.994779460966326,20.791703,-156.358194,Cabaero Farm
2000-03-14,0.419348,24.9,16.5,20.7,20.7,20.7,3.6063135837450866,,14.05190739881978,20.791703,-156.358194,Cabaero Farm
2000-03-15,0.0,24.9,16.7,20.8,20.799999999999997,20.8,3.586757475660533,,14.10847085255312,20.791703,-156.358194,Cabaero Farm
2000-03-16,0.00068601,24.5,17.0,20.8,20.75,20.8,3.443859214578577,,14.164446772521671,20.791703,-156.358194,Cabaero Farm
2000-03-17,0.0,25.2,17.3,21.2,21.25,21.2,3.585088415456251,,14.219812896790271,20.791703,-156.358194,Cabaero Farm
