Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),Ra (mm/day),ndvi_modis,Latitude,Longitude,Station,relative_humidity
2000-01-01,0.00117736,23.0,14.7,18.8,18.85,18.8,2.510583174387893,10.352056801893687,,20.8425,-156.3471,Cabaero Farms,
2000-01-02,0.00803404,23.5,15.2,19.4,19.35,19.4,2.556335016481562,10.370697029104244,,20.8425,-156.3471,Cabaero Farms,
2000-01-03,0.0,24.5,16.2,20.4,20.35,20.4,2.6301322360669412,10.390760604111405,,20.8425,-156.3471,Cabaero Farms,
2000-01-04,0.0,24.7,17.0,20.8,20.85,20.8,2.565101368212637,10.41223662191665,,20.8425,-156.3471,Cabaero Farms,
2000-01-05,0.00851923,24.6,17.6,21.1,21.1,21.1,2.4701517141230243,10.435113343929228,,20.8425,-156.3471,Cabaero Farms,
2000-01-06,0.0,24.2,17.5,20.8,20.85,20.8,2.403579044951207,10.459378202732497,,20.8425,-156.3471,Cabaero Farms,
2000-01-07,0.0247675,24.0,17.2,20.6,20.6,20.6,2.4148084624743134,10.485017807349113,,20.8425,-156.3471,Cabaero Farms,
2000-01-08,0.324943,23.7,16.4,20.0,20.049999999999997,20.0,2.469261924209277,10.512017949023171,,20.8425,-156.3471,Cabaero Farms,
2000-01-09,0.210955,23.5,16.9,20.2,20.2,20.2,2.3666770166040885,10.540363607537904,,20.8425,-156.3471,Cabaero Farms,
2000-01-10,0.0882856,23.7,17.2,20.4,20.45,20.4,2.36768795745241,10.570038958087588,,20.8425,-156.3471,Cabaero Farms,
2000-01-11,0.0,23.9,17.4,20.6,20.65,20.6,2.387061975877364,10.601027378722502,,20.8425,-156.3471,Cabaero Farms,
2000-01-12,0.0252493,24.0,17.4,20.7,20.7,20.7,2.418962123716596,10.633311458385574,,20.8425,-156.3471,Cabaero Farms,
2000-01-13,0.316042,23.3,17.2,20.2,20.25,20.2,2.302573354990238,10.666873005559204,,20.8425,-156.3471,Cabaero Farms,
2000-01-14,2.43632,23.2,17.1,20.2,20.15,20.2,2.3100896837090166,10.701693057540393,,20.8425,-156.3471,Cabaero Farms,
2000-01-15,1.54443,22.2,16.5,19.4,19.35,19.4,2.1934188354273134,10.737751890361727,,20.8425,-156.3471,Cabaero Farms,
2000-01-16,16.3013,21.6,16.0,18.8,18.8,18.8,2.146453002201754,10.775029029375208,,20.8425,-156.3471,Cabaero Farms,
2000-01-17,0.944562,21.8,15.2,18.5,18.5,18.5,2.3193850010748034,10.813503260515073,,20.8425,-156.3471,Cabaero Farms,
2000-01-18,2.25286,21.4,14.7,18.0,18.049999999999997,18.0,2.31315201812062,10.853152642254882,,20.8425,-156.3471,Cabaero Farms,
