Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),Ra (mm/day),relative_humidity,ndvi_modis,Latitude,Longitude,Station
2008-01-01,5.66301,23.7,18.9,21.3,21.299999999999997,21.3,2.0397588338471477,10.352699554917852,0.8182250000000001,0.385894,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-02,0.302772,23.9,19.0,21.4,21.45,21.4,2.069887606551834,10.371338790179777,0.792316,0.385894,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-03,0.258258,24.1,18.6,21.4,21.35,21.4,2.1971988549554684,10.391401283323708,0.737855,0.385894,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-04,0.101059,24.4,18.8,21.6,21.6,21.6,2.2330002588866162,10.412876128933476,0.680694,0.385894,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-05,0.0116555,24.5,19.2,21.8,21.85,21.8,2.1881882888904403,10.435751587980057,0.7532420000000001,0.43402,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-06,0.000422309,25.2,19.0,22.1,22.1,22.1,2.390170531275832,10.460015092589641,0.7173130000000001,0.471567,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-07,0.0,25.8,17.4,21.6,21.6,21.6,2.753969922913817,10.485653251310655,0.751574,0.503648,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-08,0.00383036,26.0,17.7,21.8,21.85,21.8,2.7585086513692625,10.512651854897829,0.6642579999999999,0.540924,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-09,0.0,26.1,18.3,22.2,22.200000000000003,22.2,2.708424741220309,10.540995882631874,0.682295,0.579883,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-10,0.00353111,25.7,18.8,22.2,22.25,22.2,2.5545527061788413,10.570669509193506,0.676038,0.579883,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-11,0.00193393,25.8,18.9,22.3,22.35,22.3,2.568446162358432,10.601656112110533,0.6503019999999999,0.579883,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-12,0.133072,25.9,18.3,22.1,22.1,22.1,2.6903058943389624,10.63393827979673,0.6731910000000001,0.556105,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-13,0.114302,24.3,18.5,21.4,21.4,21.4,2.31627682846366,10.667497820200953,0.627742,0.564994,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-14,0.20465,24.4,17.4,20.9,20.9,20.9,2.5203774288912446,10.7023157700846,0.593313,0.564994,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-15,0.211908,23.4,16.9,20.2,20.15,20.2,2.392800948098675,10.738372404944958,0.584549,0.556105,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-16,0.0134858,24.1,16.5,20.3,20.3,20.3,2.603172656139716,10.775647249601505,0.574861,0.556105,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-17,0.00221952,24.2,16.8,20.5,20.5,20.5,2.5913950075630687,10.814119089461132,0.621137,0.564994,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-18,0.173057,24.9,17.5,21.2,21.2,21.2,2.648431571873813,10.853765982477785,0.6875960000000001,0.619058,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-19,0.196393,25.4,17.8,21.6,21.6,21.6,2.721703170248949,10.89456527182045,0.640272,0.619058,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-20,0.335848,25.2,18.7,22.0,21.95,22.0,2.5523820958717054,10.936493599262766,0.6477339999999999,0.621689,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2008-01-21,0.22096,24.9,18.6,21.8,21.75,21.8,2.5100185119412455,10.979526919305808,0.637663,0.572112,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
