Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),ET2 (mm/day),Ra (mm/day),relative_humidity,Latitude,Longitude,Station
2020-01-01,0.145185,26.5,18.0,22.2,22.25,22.2,2.7768402819795677,,10.352699554917852,0.608456,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-02,3.71752,26.3,17.8,22.0,22.05,22.0,2.767930569410085,,10.371338790179777,0.679783,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-03,6.68895,25.5,19.8,22.6,22.65,22.6,2.3052644087398697,,10.391401283323708,0.685268,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-04,3.00919,25.6,21.0,23.3,23.3,23.3,2.111150895458788,,10.412876128933476,0.762949,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-05,0.0,26.7,21.9,24.3,24.299999999999997,24.3,2.213881051458235,,10.435751587980057,0.653443,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-06,0.035017,26.8,21.6,24.2,24.200000000000003,24.2,2.304151916295148,,10.460015092589641,0.626003,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-07,0.696986,26.4,20.7,23.6,23.549999999999997,23.6,2.3837521456155804,,10.485653251310655,0.607884,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-08,1.18613,26.3,19.8,23.0,23.05,23.0,2.515109859187558,,10.512651854897829,0.6569780000000001,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-09,2.13784,24.5,20.5,22.5,22.5,22.5,1.9540898167222966,,10.540995882631874,0.7299039999999999,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-10,4.33624,24.7,20.7,22.7,22.7,22.7,1.9693157295627501,,10.570669509193506,0.8078029999999999,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-11,5.00761,25.4,21.3,23.3,23.35,23.3,2.0292488059023777,,10.601656112110533,0.786331,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-12,19.1552,23.9,21.0,22.4,22.45,22.4,1.6743529951379454,,10.63393827979673,0.8466840000000001,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-13,0.72213,25.2,21.6,23.4,23.4,23.4,1.917956995696105,,10.667497820200953,0.796196,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-14,0.493087,25.8,21.2,23.5,23.5,23.5,2.1803919208067977,,10.7023157700846,0.69316,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-15,1.33901,25.8,20.8,23.3,23.3,23.3,2.269828899778031,,10.738372404944958,0.71128,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-16,0.456875,25.8,19.7,22.8,22.75,22.8,2.4852046242089276,,10.775647249601505,0.732441,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-17,9.18104,25.1,19.8,22.4,22.450000000000003,22.4,2.3018815489942863,,10.814119089461132,0.709559,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-18,2.46813,24.1,19.2,21.7,21.65,21.7,2.1827471266989313,,10.853765982477785,0.6979460000000001,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-19,0.619477,24.4,18.8,21.6,21.6,21.6,2.336296597712809,,10.89456527182045,0.641679,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-20,0.0617274,25.5,18.5,22.0,22.0,22.0,2.6487320781921033,,10.936493599262766,0.6818770000000001,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-21,0.0,25.7,16.9,21.3,21.299999999999997,21.3,2.9290686955813627,,10.979526919305808,0.615088,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-22,0.0,26.2,15.3,20.8,20.75,20.8,3.231122562377115,,11.023640514044482,0.599377,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-23,0.0,26.5,15.6,21.0,21.05,21.0,3.261171996337892,,11.06880900878623,0.559254,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
2020-01-24,0.00824698,27.2,17.5,22.4,22.35,22.4,3.2007331870226987,,11.11500638842932,0.578113,20.839723,-156.510438,"Hawaii Taro Farm, LLC"
