Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),ET2 (mm/day),Ra (mm/day),Latitude,Longitude,Station
2001-01-01,0.0105597,23.7,12.1,17.9,17.9,17.9,2.9481339630260077,,10.541979496570972,20.018748,-155.692546,Hirako Farm
2001-01-02,1.88065,24.0,13.0,18.5,18.5,18.5,2.9242057425499928,,10.56032105950732,20.018748,-155.692546,Hirako Farm
2001-01-03,0.612425,24.1,14.1,19.1,19.1,19.1,2.8395027260296097,,10.580058956652111,20.018748,-155.692546,Hirako Farm
2001-01-04,0.184131,24.1,14.2,19.2,19.15,19.2,2.838582066026139,,10.601182163961555,20.018748,-155.692546,Hirako Farm
2001-01-05,0.0206379,24.0,14.1,19.0,19.05,19.0,2.8292295428255674,,10.623678818023743,20.018748,-155.692546,Hirako Farm
2001-01-06,0.0,24.7,13.2,19.0,18.95,19.0,3.0561432080658935,,10.647536221331242,20.018748,-155.692546,Hirako Farm
2001-01-07,0.0,24.8,14.6,19.7,19.7,19.7,2.9399175702744182,,10.672740848080421,20.018748,-155.692546,Hirako Farm
2001-01-08,0.0,25.5,14.4,20.0,19.95,20.0,3.0991001527706747,,10.699278350513923,20.018748,-155.692546,Hirako Farm
2001-01-09,0.00171413,25.2,15.3,20.2,20.25,20.2,2.9499368435465954,,10.727133565823442,20.018748,-155.692546,Hirako Farm
2001-01-10,0.0,25.4,15.0,20.2,20.2,20.2,3.0317307321332203,,10.756290523629593,20.018748,-155.692546,Hirako Farm
2001-01-11,0.0,24.6,13.4,19.0,19.0,19.0,3.055445720696872,,10.78673245405614,20.018748,-155.692546,Hirako Farm
2001-01-12,0.0586637,22.4,14.3,18.4,18.35,18.4,2.5635608402881993,,10.818441796415314,20.018748,-155.692546,Hirako Farm
2001-01-13,0.0975176,23.4,13.7,18.6,18.549999999999997,18.6,2.8294424680403063,,10.851400208520953,20.018748,-155.692546,Hirako Farm
2001-01-14,1.21207,22.4,13.8,18.1,18.1,18.1,2.6358665952316263,,10.885588576645747,20.018748,-155.692546,Hirako Farm
2001-01-15,0.0392272,23.2,13.8,18.5,18.5,18.5,2.79550503642844,,10.920987026138205,20.018748,-155.692546,Hirako Farm
2001-01-16,0.15508,23.9,13.0,18.4,18.45,18.4,3.0120633708527595,,10.957574932714532,20.018748,-155.692546,Hirako Farm
2001-01-17,0.0638325,23.6,12.1,17.8,17.85,17.8,3.053058031752148,,10.995330934439586,20.018748,-155.692546,Hirako Farm
2001-01-18,0.00254276,23.9,12.0,18.0,17.95,18.0,3.134198449980488,,11.034232944410288,20.018748,-155.692546,Hirako Farm
2001-01-19,0.386776,24.1,12.5,18.3,18.3,18.3,3.1316893554162304,,11.074258164153791,20.018748,-155.692546,Hirako Farm
2001-01-20,3.68121,24.4,14.1,19.2,19.25,19.2,3.0357961644538305,,11.115383097751556,20.018748,-155.692546,Hirako Farm
2001-01-21,0.0,23.9,13.6,18.8,18.75,18.8,3.0143777954226754,,11.157583566699142,20.018748,-155.692546,Hirako Farm
2001-01-22,0.0,23.8,14.0,18.9,18.9,18.9,2.9597656604618234,,11.200834725510177,20.018748,-155.692546,Hirako Farm
2001-01-23,0.0197271,23.7,13.9,18.8,18.8,18.8,2.9633688333900645,,11.245111078071535,20.018748,-155.692546,Hirako Farm
2001-01-24,0.0481057,23.0,13.4,18.2,18.2,18.2,2.896508200112389,,11.290386494754935,20.018748,-155.692546,Hirako Farm
2001-01-25,0.0,23.3,13.3,18.3,18.3,18.3,2.97659105649425,,11.336634230288764,20.018748,-155.692546,Hirako Farm
2001-01-26,0.0307241,22.7,13.0,17.8,17.85,17.8,2.903033089648843,,11.383826942391936,20.018748,-155.692546,Hirako Farm
