Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),Ra (mm/day),ndvi_modis,Latitude,Longitude,Station,relative_humidity
2000-01-01,0.157879,25.9,16.4,21.2,21.15,21.2,2.8080671313781913,10.156714396493955,,21.6832,-157.9604,Kahuku Farm,
2000-01-02,0.080131,26.4,17.1,21.8,21.75,21.8,2.8263547204403605,10.175650234709707,,21.6832,-157.9604,Kahuku Farm,
2000-01-03,0.452105,27.1,17.4,22.2,22.25,22.2,2.921494456154982,10.196036278175297,,21.6832,-157.9604,Kahuku Farm,
2000-01-04,0.468979,27.3,18.4,22.8,22.85,22.8,2.846484972316465,10.217861753458468,,21.6832,-157.9604,Kahuku Farm,
2000-01-05,0.385111,27.7,19.8,23.8,23.75,23.8,2.7541142849029354,10.241115060140988,,21.6832,-157.9604,Kahuku Farm,
2000-01-06,1.15996,27.6,19.8,23.7,23.700000000000003,23.7,2.736625356771219,10.265783775051542,,21.6832,-157.9604,Kahuku Farm,
2000-01-07,0.754915,27.0,20.7,23.8,23.85,23.8,2.471639264375763,10.291854656968113,,21.6832,-157.9604,Kahuku Farm,
2000-01-08,1.7142,27.1,20.4,23.8,23.75,23.8,2.5556971041840666,10.319313651809617,,21.6832,-157.9604,Kahuku Farm,
2000-01-09,1.81571,26.8,19.9,23.3,23.35,23.3,2.5695480686338565,10.348145898337044,,21.6832,-157.9604,Kahuku Farm,
2000-01-10,1.19148,26.5,20.3,23.4,23.4,23.4,2.448773476440252,10.378335734384645,,21.6832,-157.9604,Kahuku Farm,
2000-01-11,0.763524,26.7,21.0,23.8,23.85,23.8,2.3779557179416355,10.40986670364171,,21.6832,-157.9604,Kahuku Farm,
2000-01-12,3.03159,26.2,20.1,23.2,23.15,23.2,2.4321497349122247,10.442721563005541,,21.6832,-157.9604,Kahuku Farm,
