Date,Rainfall (mm),Tmax (°C),Tmin (°C),ET (mm/day),Ra (mm/day),relative_humidity,Latitude,Longitude,Station
2006-01-01,1.06208,27.8,19.7,2.77944171875945,10.21918351671406,69.8237,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-02,0.897196,27.0,19.5,2.6472067463548012,10.23802608595655,69.868,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-03,1.22374,27.5,18.8,2.8498185120248576,10.25831037292042,71.4783,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-04,0.0688661,26.1,17.8,2.7076854405162742,10.28002556109479,54.584,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-05,0.105437,26.2,17.5,2.7714120332980103,10.30316000479699,56.2715,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-06,0.0994816,25.9,18.6,2.5703688676087064,10.327701233577466,65.3772,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-07,0.0411797,25.9,19.8,2.3908162235256465,10.35363595710366,61.4896,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-08,0.0429353,26.4,20.1,2.4600751519561728,10.38095007054202,61.9569,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-09,0.648374,26.1,18.9,2.589013814195489,10.409628660458019,70.1464,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-10,0.188274,26.0,19.7,2.4498802099016057,10.439656011253893,74.0746,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-11,0.0636688,26.4,20.0,2.497988800071451,10.471015612164326,66.2184,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-12,0.130684,26.3,20.2,2.4493329082446715,10.503690164829855,62.6568,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-13,1.27311,26.5,20.0,2.5365412143611334,10.537661591467915,68.8073,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-14,0.279917,27.0,19.1,2.7920810481121965,10.57291104366082,66.3122,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-15,0.0495824,26.8,18.3,2.8705983821660834,10.609418911779713,66.4073,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-16,0.0547406,27.3,19.1,2.8750976297215414,10.647164835062723,61.3535,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-17,0.221374,27.3,20.3,2.7051449872488686,10.686127712364875,66.0048,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-18,0.0272099,27.3,19.2,2.8822580969558174,10.726285713596369,67.4396,21.41505,-158.13707,MA'O Organic Farms (new site)
2006-01-19,0.246775,27.1,19.4,2.8210184787818813,10.767616291864783,63.6132,21.41505,-158.13707,MA'O Organic Farms (new site)
