Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),Ra (mm/day),ndvi_modis,Latitude,Longitude,Station,relative_humidity
2000-01-01,0.0211145,24.6,15.5,20.0,20.05,20.0,2.6771158110919977,10.207674831189044,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-02,0.0727632,25.2,15.9,20.6,20.55,20.6,2.754412812023207,10.226534672436298,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-03,0.0172833,26.2,16.3,21.2,21.25,21.2,2.892010744492193,10.246837802191006,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-04,0.109466,26.7,17.2,22.0,21.95,22.0,2.8972289959141064,10.268573411807704,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-05,0.135397,26.0,17.9,22.0,21.95,22.0,2.6812776981745934,10.291729863866689,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-06,0.729904,25.6,18.3,22.0,21.950000000000003,22.0,2.5515029682870964,10.31629469654728,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-07,0.433358,24.8,18.1,21.4,21.450000000000003,21.4,2.413606853600732,10.34225462847842,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-08,1.12658,24.9,18.3,21.6,21.6,21.6,2.414114385291906,10.369595564085705,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-09,1.58824,24.3,18.1,21.2,21.200000000000003,21.2,2.322473350947768,10.398302599454873,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-10,0.22164,23.6,18.2,20.9,20.9,20.9,2.157007709211363,10.428360028731625,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-11,0.0677475,24.3,18.4,21.3,21.35,21.3,2.2848198325699585,10.459751351078012,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-12,0.16435,24.5,18.1,21.3,21.3,21.3,2.3871069255538244,10.492459278205386,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-13,1.80382,24.1,17.0,20.6,20.55,20.6,2.4772555847964903,10.526465742503817,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-14,0.293689,24.2,17.5,20.8,20.85,20.8,2.4271046582952995,10.561751905787522,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-15,2.83913,22.8,17.8,20.3,20.3,20.3,2.076700882679471,10.598298168675369,,21.4645,-158.1132,MA'O Organic Farms (original site),
2000-01-16,0.00817599,22.5,17.5,20.0,20.0,20.0,2.067694649644454,10.636084180624826,,21.4645,-158.1132,MA'O Organic Farms (original site),
