Date,Rainfall (mm),Tmax (°C),Tmin (°C),Tmean (°C),Tavg (°C),Tmean_final (°C),ET (mm/day),ET2 (mm/day),Ra (mm/day),Latitude,Longitude,Station,relative_humidity
2000-01-01,0.00922151,25.4,16.1,20.8,20.75,20.8,2.7635205106672966,,10.20718714020318,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-02,0.0456841,25.9,16.6,21.2,21.25,21.2,2.797317305173761,,10.226047712477687,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-03,0.0137009,26.7,17.0,21.8,21.85,21.8,2.9065523216772857,,10.24635163975192,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-04,0.0472616,27.1,17.9,22.5,22.5,22.5,2.8867979130735115,,10.268088113714434,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-05,0.0922056,27.1,19.1,23.1,23.1,23.1,2.738193126379517,,10.291245497296424,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-06,0.450081,26.9,19.3,23.1,23.1,23.1,2.6752312610536495,,10.315811329043688,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-07,0.286314,26.1,19.7,22.9,22.9,22.9,2.449103871718409,,10.341772327965773,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-08,0.177795,26.3,19.6,23.0,22.950000000000003,23.0,2.518645625521798,,10.36911439888155,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-09,0.628752,25.9,19.3,22.6,22.6,22.6,2.482124572666403,,10.397822638281136,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-10,0.123661,25.4,19.5,22.4,22.45,22.4,2.3419411391472114,,10.427881340724133,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-11,0.017005,25.8,20.0,22.9,22.9,22.9,2.357967324427018,,10.45927400579431,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-12,0.16041,25.6,19.4,22.5,22.5,22.5,2.4215102931731747,,10.491983345630867,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-13,0.852956,25.5,18.2,21.8,21.85,21.8,2.590284450262968,,10.525991293056082,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-14,0.122904,25.7,18.6,22.2,22.15,22.2,2.589008747382154,,10.561279010318938,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-15,0.854694,24.7,19.0,21.8,21.85,21.8,2.3045029658426324,,10.59782689847376,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-16,0.00850823,24.3,18.6,21.4,21.450000000000003,21.4,2.289359115485438,,10.635614607412318,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-17,0.147793,23.8,18.1,21.0,20.950000000000003,21.0,2.2743089257083704,,10.674621046566992,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-18,1.21858,23.6,17.3,20.4,20.450000000000003,20.4,2.3629064702107367,,10.714824396301767,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-19,9.38816,22.6,16.8,19.7,19.700000000000003,19.7,2.234251483607516,,10.75620212000676,21.466595,-158.164714,Wong Hon Hin Inc,
2000-01-20,3.80516,22.7,17.3,20.0,20.0,20.0,2.1816708942133034,,10.798730976910731,21.466595,-158.164714,Wong Hon Hin Inc,
