loss,mse,val_loss,val_mse
0.4938,1.0763,0.5225,1.4162
0.4725,1.0977,0.52,1.4099
0.4691,1.0948,0.5186,1.412
0.464,1.085,0.5179,1.3983
0.4639,1.0856,0.517,1.396
0.4618,1.0794,0.5164,1.3846
0.4599,1.0747,0.5155,1.3805
0.4594,1.0716,0.5143,1.3721
0.4572,1.0595,0.5132,1.3571
0.4561,1.055,0.5126,1.3539
0.4553,1.0533,0.5122,1.3456
0.4552,1.0504,0.5109,1.3489
0.4542,1.0486,0.5111,1.3433
0.4533,1.0425,0.5103,1.3387
0.4524,1.0419,0.5106,1.3434
0.4528,1.0407,0.5109,1.3422
0.4518,1.0365,0.5109,1.3363
0.4518,1.0361,0.5109,1.3407
0.4519,1.0361,0.5109,1.3364
