loss,mae,val_loss,val_mae
0.9966,0.7455,1.3641,0.8894
0.9583,0.7278,1.3324,0.8826
0.9331,0.7175,1.3086,0.8761
0.9201,0.7105,1.2955,0.8727
0.9129,0.7069,1.2928,0.869
0.9061,0.7055,1.2859,0.8663
0.8985,0.7005,1.2825,0.8646
0.8967,0.7019,1.2801,0.8624
0.8902,0.6974,1.2783,0.8624
0.8888,0.6968,1.2787,0.8622
0.8832,0.6939,1.2791,0.8611
0.8788,0.6925,1.2793,0.8622
0.8755,0.691,1.2846,0.8609
0.8756,0.6917,1.2768,0.8616
0.8723,0.6898,1.2804,0.8611
0.8702,0.688,1.2827,0.861
0.8717,0.6884,1.2867,0.8617
0.867,0.6867,1.2896,0.8628
0.8655,0.6865,1.2916,0.861
