loss,mse,val_loss,val_mse
0.5614,1.1037,0.4367,1.0036
0.5137,1.1119,0.4284,0.9928
0.5066,1.1023,0.4248,0.9791
0.4991,1.0933,0.4208,0.9733
0.4932,1.0756,0.4183,0.9642
0.4899,1.0679,0.4165,0.9567
0.4879,1.0697,0.4137,0.9562
0.4842,1.0603,0.4136,0.9533
0.4822,1.0535,0.4127,0.9529
0.4808,1.0548,0.4123,0.9537
0.4803,1.0539,0.4127,0.9512
0.48,1.0501,0.4122,0.95
0.4787,1.0491,0.4104,0.9549
0.4787,1.0485,0.412,0.9528
0.4776,1.0459,0.4125,0.9519
0.4764,1.0403,0.4133,0.9502
0.4777,1.0441,0.4127,0.9498
0.4768,1.0395,0.4141,0.949
